1,bronze
1,argent
1,or
2,bronze
2,argent
2,or
3,bronze
3,argent
3,or
4,bronze
4,argent
4,or
5,bronze
5,argent
5,or
6,bronze
6,argent
6,or
7,bronze
7,argent
7,or
8,bronze
8,argent
8,or
9,bronze
9,argent
9,or
10,bronze
10,argent
10,or
11,bronze
11,argent
11,or
12,bronze
12,argent
12,or
13,bronze
13,argent
13,or
14,bronze
14,argent
14,or
15,bronze
15,argent
15,or
16,bronze
16,argent
16,or
17,bronze
17,argent
17,or
18,bronze
18,argent
18,or
19,bronze
19,argent
19,or
20,bronze
20,argent
20,or
21,bronze
21,argent
21,or
22,bronze
22,argent
22,or
23,bronze
23,argent
23,or
24,bronze
24,argent
24,or
25,bronze
25,argent
25,or
26,bronze
26,argent
26,or
27,bronze
27,argent
27,or
28,bronze
28,argent
28,or
29,bronze
29,argent
29,or
30,bronze
30,argent
30,or
31,bronze
31,argent
31,or
32,bronze
32,argent
32,or
33,bronze
33,argent
33,or
34,bronze
34,argent
34,or
35,bronze
35,argent
35,or
36,bronze
36,argent
36,or
37,bronze
37,argent
37,or
38,bronze
38,argent
38,or
39,bronze
39,argent
39,or
40,bronze
40,argent
40,or
41,bronze
41,argent
41,or
42,bronze
42,argent
42,or
43,bronze
43,argent
43,or
44,bronze
44,argent
44,or
45,bronze
45,argent
45,or
46,bronze
46,argent
46,or
47,bronze
47,argent
47,or
48,bronze
48,argent
48,or
49,bronze
49,argent
49,or
50,bronze
50,argent
50,or
51,bronze
51,argent
51,or
52,bronze
52,argent
52,or
53,bronze
53,argent
53,or
54,bronze
54,argent
54,or
55,bronze
55,argent
55,or
56,bronze
56,argent
56,or
57,bronze
57,argent
57,or
58,bronze
58,argent
58,or
59,bronze
59,argent
59,or
60,bronze
60,argent
60,or
61,bronze
61,argent
61,or
62,bronze
62,argent
62,or
63,bronze
63,argent
63,or
64,bronze
64,argent
64,or
65,bronze
65,argent
65,or
66,bronze
66,argent
66,or
67,bronze
67,argent
67,or
68,bronze
68,argent
68,or
69,bronze
69,argent
69,or
70,bronze
70,argent
70,or
71,bronze
71,argent
71,or
72,bronze
72,argent
72,or
73,bronze
73,argent
73,or
74,bronze
74,argent
74,or
75,bronze
75,argent
75,or
76,bronze
76,argent
76,or
78,bronze
78,argent
78,or
79,bronze
79,argent
79,or
80,bronze
80,argent
80,or
81,bronze
81,argent
81,or
82,bronze
82,argent
82,or
83,bronze
83,argent
83,or
84,bronze
84,argent
84,or
85,bronze
85,argent
85,or
86,bronze
86,argent
86,or
87,bronze
87,argent
87,or
88,bronze
88,argent
88,or
89,bronze
89,argent
89,or
90,bronze
90,argent
90,or
91,bronze
91,argent
91,or
92,bronze
92,argent
92,or
93,bronze
93,argent
93,or
94,bronze
94,argent
94,or
95,bronze
95,argent
95,or
96,bronze
96,argent
96,or
97,bronze
97,argent
97,or
98,bronze
98,argent
98,or
99,bronze
99,argent
99,or
100,bronze
100,argent
100,or
101,bronze
101,argent
101,or
102,bronze
102,argent
102,or
103,bronze
103,argent
103,or
104,bronze
104,argent
104,or
105,bronze
105,argent
105,or
106,bronze
106,argent
106,or
107,bronze
107,argent
107,or
108,bronze
108,argent
108,or
109,bronze
109,argent
109,or
110,bronze
110,argent
110,or
111,bronze
111,argent
111,or
112,bronze
112,argent
112,or
113,bronze
113,argent
113,or
114,bronze
114,argent
114,or
115,bronze
115,argent
115,or
116,bronze
116,argent
116,or
117,bronze
117,argent
117,or
118,bronze
118,argent
118,or
119,bronze
119,argent
119,or
120,bronze
120,argent
120,or
121,bronze
121,argent
121,or
122,bronze
122,argent
122,or
123,bronze
123,argent
123,or
124,bronze
124,argent
124,or
125,bronze
125,argent
125,or
126,bronze
126,argent
126,or
127,bronze
127,argent
127,or
128,bronze
128,argent
128,or
129,bronze
129,argent
129,or
130,bronze
130,argent
130,or
131,bronze
131,argent
131,or
132,bronze
132,argent
132,or
133,bronze
133,argent
133,or
134,bronze
134,argent
134,or
135,bronze
135,argent
135,or
136,bronze
136,argent
136,or
137,bronze
137,argent
137,or
138,bronze
138,argent
138,or
139,bronze
139,argent
139,or
140,bronze
140,argent
140,or
141,bronze
141,argent
141,or
142,bronze
142,argent
142,or
143,bronze
143,argent
143,or
144,bronze
144,argent
144,or
145,bronze
145,argent
145,or
146,bronze
146,argent
146,or
147,bronze
147,argent
147,or
148,bronze
148,argent
148,or
149,bronze
149,argent
149,or
150,bronze
150,argent
150,or
151,bronze
151,argent
151,or
152,bronze
152,argent
152,or
153,bronze
153,argent
153,or
154,bronze
154,argent
154,or
155,bronze
155,argent
155,or
156,bronze
156,argent
156,or
157,bronze
157,argent
157,or
158,bronze
158,argent
158,or
159,bronze
159,argent
159,or
160,bronze
160,argent
160,or
161,bronze
161,argent
161,or
162,bronze
162,argent
162,or
163,bronze
163,argent
163,or
164,bronze
164,argent
164,or
165,bronze
165,argent
165,or
166,bronze
166,argent
166,or
167,bronze
167,argent
167,or
168,bronze
168,argent
168,or
169,bronze
169,argent
169,or
170,bronze
170,argent
170,or
171,bronze
171,argent
171,or
172,bronze
172,argent
172,or
173,bronze
173,argent
173,or
174,bronze
174,argent
174,or
175,bronze
175,argent
175,or
176,bronze
176,argent
176,or
177,bronze
177,argent
177,or
178,bronze
178,argent
178,or
179,bronze
179,argent
179,or
180,bronze
180,argent
180,or
181,bronze
181,argent
181,or
182,bronze
182,argent
182,or
183,bronze
183,argent
183,or
184,bronze
184,argent
184,or
185,bronze
185,argent
185,or
186,bronze
186,argent
186,or
187,bronze
187,argent
187,or
