Finalevendredi 12 août 04h18,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,Penny Oleksiak,Canada,52''70,RO,
1,Simone Manuel,Etats-Unis,52''70,RO,
3,Sarah Sjoestrom,Suède,52''99,,
4,Bronte Campbell,Australie,53''04,,
5,Ranomi Kromowidjojo,Pays-Bas,53''08,,
6,Cate Campbell,Australie,53''24,,
7,Abbigail Weitzeil,Etats-Unis,53''30,,
8,Jeanette Ottesen-Gray,Danemark,53''36,,
Demi-finalesjeudi 11 août 03h12,,,,,
Série 1,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,Simone Manuel,Etats-Unis,53''11,,Q
2,Bronte Campbell,Australie,53''29,,Q
3,Jeanette Ottesen-Gray,Danemark,53''35,,Q
4,Ranomi Kromowidjojo,Pays-Bas,53''42,,Q
5,Menghui Zhu,Chine,53''98,,
6,Miki Uchida,Japon,54''39,,
7,Charlotte Bonnet,France,54''54,,
8,Etiene Medeiros,Brésil,54''59,,
Série 2,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,Cate Campbell,Australie,52''71,RO,Q
2,Penny Oleksiak,Canada,52''72,,Q
3,Sarah Sjoestrom,Suède,53''16,,Q
4,Abbigail Weitzeil,Etats-Unis,53''53,,Q
5,Chantal Van Landeghem,Canada,54''00,,
6,Pernille Blume,Danemark,54''19,,
7,Rikako Ikee,Japon,54''31,,
8,Aleksandra Herasimenia,Belarus,54''34,,
