Finale  (+0.20m/s) 15/08/2016  
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	U. BOLT	 JAM	9''81		
2	J. GATLIN	 USA	9''89		
3	A. DE GRASSE	 CAN	9''91		
4	Y. BLAKE	 JAM	9''93		
5	A. SIMBINE	 AFS	9''94		
6	B. MEITE	 CIV	9''96		
7	J. VICAUT	 FRA	10''04		
8	T. BROMELL	 USA	10''06		
Demi-finales  (+0.20m/s) 15/08/2016  
Les 2 premiers de chaque série + les 2 meilleurs temps qualifiés
Serie 1 (+0.20m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	J. VICAUT	 FRA	9''95		Q
2	B. MEITE	 CIV	9''97		Q
3	A. SIMBINE	 AFS	9''98		q
4	J. HARVEY	 TUR	10''03		
5	N. ASHMEADE	 JAM	10''05		
6	M. BRACY	 USA	10''08		
7	Z. XIE	 CHN	10''11		
8	H. TAFTIAN	 IRN	10''23		
Serie 2 (+0.20m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	U. BOLT	 JAM	9''86		Q
2	A. DE GRASSE	 CAN	9''92		Q
3	T. BROMELL	 USA	10''01		q
4	C. UJAH	 GBR	10''01		
5	R. YAMAGATA	 JAP	10''05		
6	K. COLLINS	 SKN	10''12		
7	C. GREENE	 ANT	10''13		
-	A. FISHER	 BRN	DQ		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	J. GATLIN	 USA	9''94		Q
2	Y. BLAKE	 JAM	10''01		Q
3	C. LEMAITRE	 FRA	10''07		
4	B. SU	 CHN	10''08		
5	K. BROWN	 BRN	10''13		
6	J. DASAOLU	 GBR	10''16		
7	A. CAMBRIDGE	 JAP	10''17		
-	D. BAILEY	 ANT	DNS		
Séries  (+0.20m/s) 13/08/2016  
Les 2 premiers de chaque série + les 8 meilleurs temps qualifiés
Serie 1 (-1.20m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	K. BROWN	 BRN	10''13		Q
2	C. UJAH	 GBR	10''13		Q
3	M. BRACY	 USA	10''16		q
4	S. OGUNLEWE	 NGA	10''26		
5	F. OGUNODE	 QAT	10''28		
6	S. SAFO-ANTWI	 GHA	10''43		
7	R. GHASEMI	 IRN	10''47		
8	A. GRIFFITH	 BAH	10''53		
9	M. ISMAIL	 BRU	10''95		
Serie 2 (+0.80m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
