FINALEdimanche 7 août
RangAthlète Perf.Rec.
1.,M.Horton (AUS),3'41''55
2.,Y.Sun (CHN),3'41''68
3.,G.Detti (ITA),3'43''49
4.,C.Dwyer (USA),3'44''01
5.,C.Jaeger (USA),3'44''16
6.,J.Guy (GBR),3'44''68
7.,D.McKeon (AUS),3'45''28
8.,J.Pothain (FRA),3'49''07
