Finalesamedi 13 août 03h12
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Joseph Schooling	Singapour	50''39	RO	
2	Chad Le Clos	Afrique du Sud	51''14		
2	Michael Phelps	Etats-Unis	51''14		
2	Lazslo Cseh	Hongrie	51''14		
5	Zhuhao Li	Chine	51''26		
6	Mehdy Metella	France	51''58		
7	Thomas Shields	Etats-Unis	51''73		
8	Alexander Sadovnikov	Russie	51''84		
Demi-finalesvendredi 12 août 04h34
Série 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Lazslo Cseh	Hongrie	51''57		Q
2	Michael Phelps	Etats-Unis	51''58		Q
3	Konrad Czerniak	Pologne	51''80		
4	Piero Codia	Italie	51''82		
5	Santo Condorelli	Canada	51''83		
6	Grant Irvine	Australie	51''87		
7	James Guy	Grande-Bretagne	52''10		
8	Zheng Wen Quah	Singapour	52''26		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Joseph Schooling	Singapour	50''83		Q
2	Chad Le Clos	Afrique du Sud	51''43		Q
3	Zhuhao Li	Chine	51''51		Q
4	Thomas Shields	Etats-Unis	51''61		Q
5	Alexander Sadovnikov	Russie	51''71		Q
6	Mehdy Metella	France	51''73		Q
7	David Morgan	Australie	51''75		
8	Evgeny Koptelov	Russie	52''50		
Sériesjeudi 11 août 19h16
Série 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Oumar Toure	Mali	57''56		
2	Hannibal Gaskin	Guyana	58''57		
3	Thint Myaat	Myanmar	1'02''54		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Santo Condorelli	Canada	51''99		Q
2	Ryan Pini	Papouasie Nouvelle Guinée	53''24		
3	Glenn Victor Sutanto	Indonésie	54''25		
4	Abbas Qali	CIO	54''63		
5	Anthony Ralefy	Madagascar	54''72		
6	Ralph Goveia	Zambie	54''84		
7	Allan Gutierrez Castro	Honduras	55''20		
8	Rami Anis	CIO	56''23		
Série 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	James Guy	Grande-Bretagne	51''78		Q
2	Zheng Wen Quah	Singapour	52''08		Q
3	Luis Martinez Mendez	Guatemala	52''22		
4	Henrique de Souza Martins	Brésil	52''42		
5	Lyubomyr Lemeshko	Ukraine	52''51		
6	Qibin Zhang	Chine	52''84		
7	Long Yuan Moguel Gutierrez Feng	Mexique	53''34		
8	Marcos Antonio De Macedo	Brésil	53''87		
Série 4
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Lazslo Cseh	Hongrie	51''52		Q
2	Piero Codia	Italie	51''72		Q
3	Konrad Czerniak	Pologne	51''81		Q
4	Evgeny Koptelov	Russie	52''01		Q
5	Jérémy Stravius	France	52''10		
6	Steffen Deibler	Allemagne	52''14		
7	Santiago Grassi	Argentine	52''56		
8	Pavel Sankovich	Belarus	53''00		
Série 5
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Thomas Shields	Etats-Unis	51''58		Q
2	Mehdy Metella	France	51''71		Q
3	Chad Le Clos	Afrique du Sud	51''75		Q
4	David Morgan	Australie	51''81		Q
5	Joeri Verlinden	Pays-Bas	52''48		
6	Matteo Rivolta	Italie	52''67		
7	Bence Pulai	Hongrie	52''73		
8	Pavel Korzeniowski	Pologne	53''71		
Série 6
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Joseph Schooling	Singapour	51''41		Q
2	Michael Phelps	Etats-Unis	51''60		Q
3	Zhuhao Li	Chine	51''78		Q
4	Grant Irvine	Australie	51''84		Q
5	Alexander Sadovnikov	Russie	51''91		Q
6	Takuro Fujii	Japon	52''36		
7	Albert Subirats	Venezuela	53''23		
8	Yauheni Tsurkin	Belarus	53''24
