Finalesamedi 13 août 03h44,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,Anthony Ervin,Etats-Unis,21''40,,
2,Florent Manaudou,France,21''41,,
3,Nathan Adrian,Etats-Unis,21''49,,
4,Benjamin Proud,Grande-Bretagne,21''68,,
5,Andriy Govorov,Ukraine,21''74,,
6,Brad Tandy,Afrique du Sud,21''79,,
6,Bruno Fratus,Brésil,21''79,,
8,Simonas Bilis,Lituanie,22''08,,
Demi-finalesvendredi 12 août 03h03,,,,,
Série 1,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,Florent Manaudou,France,21''32,,Q
2,Nathan Adrian,Etats-Unis,21''47,,Q
3,Brad Tandy,Afrique du Sud,21''80,,Q
4,Vladimir Morozov,Russie,21''88,,
5,Santo Condorelli,Canada,21''97,,
6,Kristian Gkolomeev,Grèce,21''98,,
7,Norbert Trandafir,Roumanie,21''99,,
8,Shinri Shioura,Japon,22''18,,
Série 2,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,Anthony Ervin,Etats-Unis,21''46,,Q
1,Andriy Govorov,Ukraine,21''46,,Q
3,Benjamin Proud,Grande-Bretagne,21''54,,Q
4,Bruno Fratus,Brésil,21''71,,Q
4,Simonas Bilis,Lituanie,21''71,,Q
6,Luca Dotto,Italie,21''84,,
7,Cameron McEvoy,Australie,21''89,,
8,Italo Duarte,Brésil,22''05,,
,,,,,
,,,,,
Anthony Ervin,,Etats-Unis,,,
Florent Manaudou,,France,,,
Nathan Adrian,,Etats-Unis,,,
Benjamin Proud,,Grande-Bretagne,,,
Andriy Govorov,,Ukraine,,,
Brad Tandy,,Afrique du Sud,,,
Bruno Fratus,,Brésil,,,
Simonas Bilis,,Lituanie,,,
,,,,,
,,,,,
,,,,,
Florent Manaudou,,France,,,
Nathan Adrian,,Etats-Unis,,,
Brad Tandy,,Afrique du Sud,,,
Vladimir Morozov,,Russie,,,
Santo Condorelli,,Canada,,,
Kristian Gkolomeev,,Grèce,,,
Norbert Trandafir,,Roumanie,,,
Shinri Shioura,,Japon,,,
,,,,,
Athlète,,Nation,,,
Anthony Ervin,,Etats-Unis,,,
Andriy Govorov,,Ukraine,,,
Benjamin Proud,,Grande-Bretagne,,,
Bruno Fratus,,Brésil,,,
Simonas Bilis,,Lituanie,,,
Luca Dotto,,Italie,,,
Cameron McEvoy,,Australie,,,
Italo Duarte,,Brésil,,,
