Finale  (-0.50m/s) 19/08/2016  ,,,,,
Serie 5 (-1.50m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,J. GATLIN, USA,20''42,,Q
2,M. GALVAN, ITA,20''58,,Q
3,R. GITTENS, BAR,20''58,,
4,S. SMELYK, UKR,20''66,,
5,A. MENGA, ALL,20''80,,
6,K. FUJIMITSU, JAP,20''86,,
7,Y. MARTINEZ, RDO,20''97,,
Serie 6 (+0.40m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,N. ASHMEADE, JAM,20''15,,Q
2,A. GEMILI, GBR,20''20,,Q
3,C. MUNYAI, AFS,20''66,,
4,B. ELLIS Jr, BAR,20''74,,
5,A. HARTMANN, AUS,21''02,,
6,T. TSUMBA, ZIM,21''04,,
7,R. PALACIOS, HND,21''32,,
8,T. PINIAU, PNG,22''14,,
Serie 7 (+0.20m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,N. BRENES, CRI,20''20,,Q
2,C. MARTINA, HOL,20''29,,Q
3,B. RODNEY, CAN,20''34,,
4,D. MANENTI, ITA,20''51,,
5,A. JAMMEH, GAM,20''55,,
6,H. HOUSTON, BER,20''85,,
7,F. DABLA, TOG,21''63,,
-,M. NYANG'AU, KEN,DNS,,
Serie 8 (+0.40m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,L. MERRITT, USA,20''15,,Q
2,C. LEMAITRE, FRA,20''28,,Q
3,J. REUS, ALL,20''39,,
4,R. MENA, CUB,20''42,,
5,K. ZALEWSKI, POL,20''54,,
6,B. DE BARROS, BRE,20''59,,
7,I. BODROV, UKR,20''86,,
8,C. NKANATA, KEN,21''43,,
Serie 9 (+0.60m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,U. BOLT, JAM,20''28,,Q
2,E. ODUDURU, NGA,20''34,,Q
3,S. BOCKARIE, HOL,20''42,,
4,K. GREAUX, TRI,20''61,,
5,J. BORLEE, BEL,20''64,,
6,K. TAKASE, JAP,20''71,,
7,J. SAIDY NDURE, NOR,20''78,,
7,A. ALI, SOU,20''78,,
Serie 10 (+1.00m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,A. DE GRASSE, CAN,20''09,,Q
2,N. MITCHELL-BLAKE, GBR,20''24,,Q
3,R. SORRILLO, TRI,20''27,,q
4,H. KOFFI, CIV,20''48,,
5,A. ADAMS, SKN,20''49,,
6,S. DEL CARMEN, RDO,20''55,,
7,A. DA SILVA JUNIOR, BRE,20''80,,
8,B. JONES, BLZ,21''49,,
