Finale  (-0.50m/s) 19/08/2016  ,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,U. BOLT, JAM,"19""78",,
2,A. DE GRASSE, CAN,"20""02",,
3,C. LEMAITRE, FRA,"20""12",,
4,A. GEMILI, GBR,"20""12",,
5,C. MARTINA, HOL,"20""13",,
6,L. MERRITT, USA,"20""19",,
7,A. EDWARD, PAN,"20""23",,
8,R. GULIYEV, TUR,"20""43",,
Demi-finales  (-0.50m/s) 18/08/2016  ,,,,,
Les 2 premiers de chaque série + les 2 meilleurs temps qualifiés,,,,,
Serie 1 (-0.40m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,L. MERRITT, USA,19''94,,Q
2,C. LEMAITRE, FRA,20''01,,Q
3,D. TALBOT, GBR,20''25,,
4,N. ASHMEADE, JAM,20''31,,
5,R. SORRILLO, TRI,20''33,,
5,N. BRENES, CRI,20''33,,
7,A. BROWN, CAN,20''37,,
8,J. HERRERA, MEX,20''48,,
Serie 2 (-0.30m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,U. BOLT, JAM,19''78,,Q
2,A. DE GRASSE, CAN,19''80,,Q
3,A. GEMILI, GBR,20''08,,q
4,R. GULIYEV, TUR,20''09,,q
5,A. WEBB, USA,20''43,,
5,S. YAQOOB, BRN,20''43,,
7,E. ODUDURU, NGA,20''59,,
8,R. SKYERS, CUB,20''60,,
Serie 3 (-0.20m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,A. EDWARD, PAN,20''07,,Q
2,C. MARTINA, HOL,20''10,,Q
3,J. GATLIN, USA,20''13,,
4,B. HORTELANO, ESP,20''16,,
5,N. MITCHELL-BLAKE, GBR,20''25,,
6,Y. BLAKE, JAM,20''37,,
7,S. TSAKONAS, GRE,20''63,,
8,M. GALVAN, ITA,20''88,,
Séries  (-0.50m/s) 16/08/2016  ,,,,,
Les 2 premiers de chaque série + les 4 meilleurs temps qualifiés,,,,,
Serie 1 (+0.70m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,A. EDWARD, PAN,20''19,,Q
2,D. TALBOT, GBR,20''27,,Q
3,S. TSAKONAS, GRE,20''31,,q
4,F. OGUNODE, QAT,20''36,,
5,J. DODSON, SAM,20''51,,
6,J. HARVEY, TUR,20''58,,
7,M. LEHATA, LES,20''65,,
8,D. PINDER, BAH,DQ,,
Serie 2 (-0.20m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,B. HORTELANO, ESP,20''12,,Q
2,Y. BLAKE, JAM,20''13,,Q
3,A. WEBB, USA,20''31,,q
4,A. JOBODWANA, AFS,20''53,,
5,R. EREWA, ALL,20''61,,
6,E. DASOR, GHA,20''65,,
7,S. HART, BAH,20''74,,
8,B. BALOYES, COL,20''78,,
Serie 3 (+0.30m/s),,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,S. YAQOOB, BRN,20''19,,Q
2,R. GULIYEV, TUR,20''23,,Q
3,A. BROWN, CAN,20''23,,q
4,S. IIZUKA, JAP,20''49,,
5,E. MATADI, LBR,20''49,,
6,S. MATSENJWA, SWA,20''63,,
7,L. CADOGAN, BAR,21''02,,
8,T. ODELE, NIG,21''25,,
Serie 4,,,,,
Rang,Athlète,Nation,Perf.,Rec.,Qual.
1,J. HERRERA, MEX,20''29,,Q
2,R. SKYERS, CUB,20''44,,Q
3,J. VIDES, BRE,20''50,,
4,T. LEOTLELA, AFS,20''59,,
5,E. DESALU, ITA,20''65,,
6,T. SMITH, BAH,20''66,,
7,D. KIKI, BEN,22''27,,
-,M. FRANCIS, ANT,DNS,,
