Finale,,,,
sam 20/08/2016,FRANCE,19 - 22,RUSSIE,Live
Match pour la 3e place,,,,
sam 20/08/2016,PAYS-BAS,26 - 36,NORVEGE,Live
Demi-finales,,,,
ven 19/08/2016,NORVEGE,37 - 38,RUSSIE,Live
ap,,,,
jeu 18/08/2016,PAYS-BAS,23 - 24,FRANCE,Live
Quarts de finale,,,,
mer 17/08/2016,RUSSIE,31 - 27,ANGOLA,Live
mar 16/08/2016,SUEDE,20 - 33,NORVEGE,Live
,ESPAGNE,26 - 27,FRANCE,Live
,,ap,,
,BRESIL,23 - 32,PAYS-BAS,Live
