Finalemercredi 10 août 03h19
Rang	Athlète	Nation	Perf.	Rec.	
1	Kathleen Ledecky	Etats-Unis	1'53''73		
2	Sarah Sjoestrom	Suède	1'54''08		
3	Emma McKeon	Australie	1'54''92		
4	Federica Pellegrini	Italie	1'55''18		
5	Bronte Barratt	Australie	1'55''25		
5	Duo Shen	Chine	1'55''25		
7	Michelle Coleman	Suède	1'56''27		
8	Charlotte Bonnet	France	1'56''29		
Demi-finalesmardi 9 août 03h03
Série 1
Rang	Athlète	Nation	Perf.	Rec.	
1	Duo Shen	Chine	1'56''03		Q
2	Emma McKeon	Australie	1'56''29		Q
3	Charlotte Bonnet	France	1'56''38		Q
4	Bronte Barratt	Australie	1'56''63		Q
5	Brittany MacLean	Canada	1'57''36		
6	Yanhan Ai	Chine	1'57''41		
7	Manuella Lyrio	Brésil	1'57''43		
8	Missy Franklin	Etats-Unis	1'57''56		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	
1	Sarah Sjoestrom	Suède	1'54''65		Q
2	Kathleen Ledecky	Etats-Unis	1'54''81		Q
3	Federica Pellegrini	Italie	1'55''42		Q
4	Michelle Coleman	Suède	1'56''05		Q
5	Veronika Popova	Russie	1'57''22		
6	Siobhan Bernadette Haughey	Hong-Kong	1'57''56		
7	Katerine Savard	Canada	1'57''80		
8	Femke (Frederike) Heemskerk	Pays-Bas	1'57''82		
Sérieslundi 8 août 18h02
Série 1
Rang	Athlète	Nation	Perf.	Rec.	
1	Matelita Buadromo	Fidji	2'05''49		
2	Shivani Shivani	Inde	2'09''30		
3	Kaya Forson	Ghana	2'16''02		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	
1	Katarina Simonovic	Serbie	2'00''06		
2	Barbora Seemanova	Rép. Tchèque	2'00''26		
3	Anastasia Bogdanovski	Macédoine	2'00''52		
4	Elisbet Gamez Matos	Cuba	2'01''08		
5	Joanna Evans	Bahamas	2'01''27		
6	Sara Pastrana	Honduras	2'03''19		
7	Andrea Cedron Rodroguez	Pérou	2'05''33		
Andrea Murez	Israël	DNS		
Série 3
Rang	Athlète	Nation	Perf.	Rec.	
1	Siobhan Bernadette Haughey	Hong-Kong	1'56''91		Q
2	Katerine Savard	Canada	1'57''15		Q
3	Annika Bruhn	Allemagne	1'58''48		
4	Nina Rangelova	Bulgarie	1'58''57		
5	Georgia Coates	Grande-Bretagne	1'59''33		
6	Evelyn Verraszto	Hongrie	1'59''44		
7	Camille Lily Mei Cheng	Hong-Kong	1'59''71		
8	Patricia Castro Ortega	Espagne	2'00''71		
Série 4
Rang	Athlète	Nation	Perf.	Rec.	
1	Federica Pellegrini	Italie	1'56''37		Q
2	Yanhan Ai	Chine	1'56''77		Q
3	Veronika Popova	Russie	1'57''08		Q
4	Missy Franklin	Etats-Unis	1'57''12		Q
5	Arina Openysheva	Russie	1'58''05		
6	Alice Mizzau	Italie	1'59''16		
7	Ajna Kesely	Hongrie	1'59''20		
8	Robin Neumann	Pays-Bas	1'59''23		
Série 5
Rang	Athlète	Nation	Perf.	Rec.	
1	Kathleen Ledecky	Etats-Unis	1'55''01		Q
2	Emma McKeon	Australie	1'55''80		Q
3	Michelle Coleman	Suède	1'56''54		Q
4	Bronte Barratt	Australie	1'56''93		Q
5	Melania Felicitas Costa Schmid	Espagne	1'58''19		
6	Rikako Ikee	Japon	1'58''49		
7	Coralie Balmy	France	1'58''83		
8	Eleanor Faulkner	Grande-Bretagne	2'00''51		
Série 6
Rang	Athlète	Nation	Perf.	Rec.	
1	Sarah Sjoestrom	Suède	1'56''11		Q
2	Charlotte Bonnet	France	1'56''26		Q
3	Duo Shen	Chine	1'56''52		Q
4	Manuella Lyrio	Brésil	1'57''28		Q
5	Femke (Frederike) Heemskerk	Pays-Bas	1'57''68		Q
6	Brittany MacLean	Canada	1'57''74		Q
7	Chihiro Igarashi	Japon	1'57''88		
8	Larissa Martins Oliveira	Brésil	2'00''76		
