Finale (+0.50m/s)14/08/2016 
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	E. THOMPSON	JAM	10"71		
2	T. BOWIE	USA	10"83		
3	S. FRASER-PRYCE	JAM	10"86		
4	M. TA LOU	CIV	10"86		
5	D. SCHIPPERS	HOL	10"90		
6	M. AHYE	TRI	10"92		
7	E. GARDNER	USA	10"94		
8	C. WILLIAMS	JAM	11"80		
Demi-finales (+0.50m/s)14/08/2016 
Les 2 premières de chaque série + les 2 meilleurs temps qualifiées
Serie 1 (+1.00m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	T. BOWIE	USA	10''90		Q
2	M. AHYE	TRI	10''90		Q
3	C. WILLIAMS	JAM	10''96		q
4	M. AHOURE	CIV	11''01		
5	A. TENORIO	EQU	11''14		
6	M. KAMBUNDJI	SUI	11''16		
7	E. SWOBODA	POL	11''18		
8	O. POVH	UKR	11''29		
Serie 2 (+0.30m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. FRASER-PRYCE	JAM	10''88		Q
2	D. SCHIPPERS	HOL	10''90		Q
3	M. TA LOU	CIV	10''94		q
4	T. BARTOLETTA	USA	11''00		
5	R. SANTOS	BRE	11''23		
6	N. LANDAZURI	EQU	11''27		
7	N. POHREBNYAK	UKR	11''32		
8	A. PHILIP	GBR	11''33		
Serie 3 (+0.60m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	E. THOMPSON	JAM	10''88		Q
2	E. GARDNER	USA	10''90		Q
3	B. OKAGBARE	NGA	11''09		
3	D. HENRY	GBR	11''09		
5	S. HACKETT	TRI	11''20		
5	C. HORN	AFS	11''20		
7	T. PINTO	ALL	11''32		
-	I. LALOVA	BUL	DNS		
Séries (+0.50m/s)13/08/2016 
Les 2 premières de chaque série + les 8 meilleurs temps qualifiées
Serie 1 (+0.30m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	D. HENRY	GBR	11''08		Q
2	M. AHOURE	CIV	11''17		Q
3	N. POHREBNYAK	UKR	11''30		q
4	L. BAZOLO	POR	11''43		
5	Y. WEI	CHN	11''48		
6	H. AL-KHALDI	BRU	11''59		
7	R. KASHAFUTDINOVA	KAZ	11''84		
8	S. SEAVULA	FID	12''48		
Serie 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	D. SCHIPPERS	HOL	11''16		Q
2	T. PINTO	ALL	11''31		Q
3	K. BINGHAM	CAN	11''41		
4	F. OWUSU-AGYAPONG	GHA	11''43		
5	G. ASUMNU	NGA	11''55		
6	E. RIVERA	COL	11''59		
7	B. THOMPSON	GUY	11''72		
8	H. KAMARA	SIE	12''22		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	T. BOWIE	USA	11''13		Q
2	B. OKAGBARE	NGA	11''16		Q
3	A. TENORIO	EQU	11''35		q
4	E. OKPARAEBO	NOR	11''43		
5	E. PALACIOS	COL	11''48		
6	T. HARRIGAN	ISV	11''54		
7	H. STUY	UKR	11''57		
8	C. BOUELE	CON	12''18		
Serie 4 (-0.30m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. FRASER-PRYCE	JAM	10''96		Q
2	M. TA LOU	CIV	11''01		Q
3	M. KAMBUNDJI	SUI	11''19		q
4	N. LANDAZURI	EQU	11''38		q
5	T. GAITHER	BAH	11''56		
6	R. PAPAIOANNOU	CHY	11''61		
