Finale (-0.10m/s)18/08/2016 
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	E. THOMPSON	JAM	21''78		
2	D. SCHIPPERS	HOL	21''88		
3	T. BOWIE	USA	22''15		
4	M. TA LOU	CIV	22''21		
5	D. ASHER-SMITH	GBR	22''31		
6	M. AHYE	TRI	22''34		
7	D. STEVENS	USA	22''65		
8	I. LALOVA	BUL	22''69		
Demi-finales (-0.10m/s)17/08/2016 
Les 2 premières de chaque série + les 2 meilleurs temps qualifiées
Serie 1 (+0.10m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	D. SCHIPPERS	HOL	21''96		Q
2	E. THOMPSON	JAM	22''13		Q
3	D. STEVENS	USA	22''38		q
4	D. ASHER-SMITH	GBR	22''49		q
5	B. OKAGBARE	NGA	22''69		
6	M. KAMBUNDJI	SUI	22''83		
7	L. MAYER	ALL	22''90		
8	T. GAITHER	BAH	23''45		
Serie 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	M. TA LOU	CIV	22''28		Q
2	I. LALOVA	BUL	22''42		Q
3	E. NELSON	AUS	22''50		
4	J. PRANDINI	USA	22''55		
5	N. POHREBNYAK	UKR	22''81		
6	S. HACKETT	TRI	22''94		
7	A. TENORIO	EQU	22''99		
8	J. WILLIAMS	GBR	22''99		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	T. BOWIE	USA	22''13		Q
2	M. AHYE	TRI	22''25		Q
3	S. FACEY	JAM	22''57		
4	M. AHOURE	CIV	22''59		
5	G. LUCKENKEMPER	ALL	22''73		
6	E. ODIONG	BRN	22''84		
7	N. SOTO	VEN	22''88		
8	C. EMMANUEL	CAN	23''05		
Séries (-0.10m/s)15/08/2016 
Les 2 premières de chaque série + les 6 meilleurs temps qualifiées
Serie 1 (+0.50m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	D. SCHIPPERS	HOL	22''51		Q
2	N. POHREBNYAK	UKR	22''64		Q
3	C. EMMANUEL	CAN	22''80		q
4	A. KIELBASINSKA	POL	22''95		
5	R. THOMAS	TRI	22''97		
6	M. MIHALINEC	SLV	23''38		
7	O. BORLEE	BEL	23''53		
8	A. ISMAIL	MDI	24''96		
Serie 2 (+0.80m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	J. PRANDINI	USA	22''62		Q
2	L. MAYER	ALL	22''86		Q
3	T. GAITHER	BAH	22''90		q
4	A. TENORIO	EQU	22''94		q
5	C. MORALES	PRI	23''00		
6	G. HOOPER	ITA	23''05		
7	M. SANCHEZ	RDO	23''39		
8	C. BOLINGO	BEL	23''98		
Serie 3 (+0.60m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	M. AHYE	TRI	22''50		Q
2	S. FACEY	JAM	22''78		Q
3	K. VENANCIO	BRE	23''06		
4	A. CONLEY	AFS	23''17		
5	I. JIMENEZ	CHL	23''29		
6	E. GARCIA	ESP	23''43		
7	N. STROHOVA	UKR	23''69		
8	Y. RYABOVA	TUK	25''45		
Serie 4 (+0.60m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	M. TA LOU	CIV	22''31		Q
2	E. THOMPSON	JAM	22''63		Q
3	G. LUCKENKEMPER	ALL	22''80		q
4	M. BELIMPASAKI	GRE	23''19		
5	J. PALFRAMAN	AFS	23''33		
6	J. AMPONSAH	GHA	23''67		
7	D. KHUBESERYAN	ARM	25''16		
8	M. HASSAN	SSD	26''99		
Serie 5 (-0.10m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	B. OKAGBARE	NGA	22''71		Q
2	D. ASHER-SMITH	GBR	22''77		Q
3	A. STRACHAN	BAH	22''96		
4	T. VAN SCHAGEN	HOL	23''41		
5	G. BASS	GAM	23''43		
6	S. NANDA	IND	23''58		
7	A. ALCINDOR	MAU	24''55		
8	G. CHILOYAN	ARM	25''03		
Serie 6
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	D. STEVENS	USA	22''45		Q
2	N. SOTO	VEN	22''89		Q
3	J. SAMUEL	HOL	23''04		
4	R. PAPAIOANNOU	CHY	23''10		
5	E. BRYZGINA	UKR	23''28		
