Finale (-0.10m/s)18/08/2016 
6	N. SHARIPOVA	OUZ	23''33		
7	V. ZYABKINA	KAZ	23''34		
8	N. PARVEEN	PAK	26''11		
Serie 7 (+0.50m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	I. LALOVA	BUL	22''61		Q
2	E. NELSON	AUS	22''66		Q
3	J. WILLIAMS	GBR	22''69		q
4	L. BAZOLO	POR	23''01		
5	C. FUKUSHIMA	JAP	23''21		
6	V. ROSA	BRE	23''35		
6	L. JONES-FERRETTE	ISV	23''35		
8	S. FERGUSON	BAH	23''62		
Serie 8 (+0.10m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	T. BOWIE	USA	22''47		Q
2	M. AHOURE	CIV	22''52		Q
3	M. KAMBUNDJI	SUI	22''78		q
4	N. GONSKA	ALL	23''03		
5	E. ARTYMATA	CHY	23''27		
6	A. GANDULLA	CUB	23''41		
7	B. THOMPSON	GUY	23''65		
8	M. ABDUL RAHIM	BRU	28''02		
Serie 9 (+0.60m/s)
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	E. ODIONG	BRN	22''74		Q
2	S. HACKETT	TRI	22''78		Q
3	V. CAMPBELL-BROWN	JAM	22''97		
4	N. SAFRONAVA	BLR	23''29		
5	T. WILLIAMS	SKN	23''61		
5	A. KELLY	ISV	23''61		
7	S. VEIT	SLV	23''75		
8	K. PRONZHENKO	TJK	25''53
