Finale14/08/2016 					
Rang	Athlète	Nation	Perf.	Rec.	Qual.
-	S. PERUNOVIC	MCG	DNF		
-	D. GRANDOVEC	SLV	DNF		
-	S. ESHETE	BRN	DNF		
-	M. PERALTA	ARG	DNF		
-	H. KIPROP	KEN	DNF		
-	T. TUFA	ETH	DNF		
-	L. LUIK	EST	DNF		
-	G. ZHANATBEK	KAZ	DNF		
-	K. ARIAS	COL	DNF		
-	K. BOULAID	MAR	DNF		
-	E. NAVASCUES	ESP	DNF		
-	L. KORLIMA	ISR	DNF		
-	N. IVANOVA	BLR	DNF		
-	D. CARLAN	ROU	DNF		
-	C. DAUNAY	FRA	DNF		
-	I. MELCHOR	PER	DNF		
-	S. AIT-SALEM	ALG	DNF		
-	A. INCERTI	ITA	DNF		
-	J. AUGUSTO	POR	DNF		
-	K. KOWALSKA	POL	DNF		
-	I. VAN ZYL	AFS	DNS		
